Country,Cluster,PC1,PC2
Afghanistan,2,-0.5516921387987938,-0.5018793867861364
Benin,2,-1.9332904331606429,-2.1382723872138483
Burkina Faso,0,-0.4227318755062972,0.6398417120456057
Cambodia,0,2.2040540642456086,3.2503947655103933
Central African Republic,1,-4.399036919271809,2.1176540653660116
Chad,1,-4.7256719709878565,3.6211707871881247
Comoros,1,-5.970833657882957,0.09912676676578222
"Congo, Rep.",2,-2.5072619392452737,-0.528140344406002
"Egypt, Arab Rep.",0,1.1102983755738098,-0.6751825115298671
Ethiopia,0,1.4254794510338695,1.6402668468245838
Ghana,2,0.41385458904788996,-1.3416322255783943
Guinea,2,-2.3514493426982894,-1.250866489010461
Honduras,0,1.8643543374614073,0.5027833931291903
Kenya,0,2.869193743022991,-0.05642138449271927
Kyrgyz Republic,2,-0.4765714590080101,-3.768615338111107
Lao PDR,0,1.8483749535210234,0.8520417369894139
Lesotho,0,2.7697061729031387,-0.1656667007251422
Liberia,0,-0.016078916951766255,0.22721138214256456
Madagascar,0,0.818371664507494,0.5532459432863474
Malawi,0,1.8481295708137986,1.3517070352138978
Mali,2,-1.954892119360981,-0.7345169117806577
Mauritania,2,-1.5487810730387035,-0.6017775735609234
Mozambique,0,-0.42392404499512903,2.355070182323623
Myanmar,0,1.9610355763788418,1.2993290366783947
Nepal,0,1.1937778747436367,-1.3036895655833887
Niger,2,-0.790388431173068,-1.026252938561448
Papua New Guinea,0,0.5988450372331172,0.24163130060650673
Rwanda,0,2.956103742914839,-0.6789620944003235
Senegal,2,0.138174968868551,-0.9897881052263473
Sierra Leone,0,0.5190331271501862,0.16967483647102585
Tajikistan,2,-0.7790332820561546,-2.679445805416144
Tanzania,0,0.4413231371223689,0.5377342771583711
Togo,2,-0.26346396715260784,-2.476448449981668
Uganda,0,1.2014663072917051,0.1421243467709452
Zambia,0,2.2998270756941066,-0.8771748008939293
Zimbabwe,0,0.6336978017599585,2.1937245987877225
