Variable,Importance
"H_Cause of death, by injury, ages 15-59, female (% of female population ages 15-59)",11.800961464743711
"H_Cause of death, by injury, female (% of female population)",4.170339889852918
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 15-59, female (% of female population ages 15-59)",2.4302859741306717
"E_School enrollment, primary, female (% gross)",1.8398546711677322
H_Lifetime risk of maternal death (%),1.3288771218294428
"H_Prevalence of obesity, female (% of female population ages 18+)",0.5359538059338284
"P_Fertility rate, total (births per woman)",0.380633326451934
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 5-14, female (% of female population ages 5-14)",0.2592401184407189
"H_Cause of death, by non-communicable diseases, ages 15-59, female (% of female population ages 15-59)",0.11048771243661387
"H_Cause of death, by injury, ages 0-4, female (% of female population ages 0-4)",0.09394582944520179
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",0.0661235535072411
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, female (% of female population)",0.061342414504100225
"H_Cause of death, by injury, ages 5-14, female (% of female population ages 5-14)",0.057708739687011415
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 60+, female (% of female population ages 60+)",0.057260266108915804
"H_Cause of death, by non-communicable diseases, ages 60+, female (% of female population ages 60+)",0.03511510913978043
