Variable,Importance
"E_School enrollment, primary, female (% gross)",8.996090260325563
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 15-59, female (% of female population ages 15-59)",6.901343757451729
"H_Cause of death, by injury, ages 15-59, female (% of female population ages 15-59)",5.5526885929799334
"H_Cause of death, by injury, female (% of female population)",3.585395465480351
"H_Prevalence of obesity, female (% of female population ages 18+)",3.497763447200173
"H_Cause of death, by non-communicable diseases, ages 60+, female (% of female population ages 60+)",3.109696122246715
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 5-14, female (% of female population ages 5-14)",2.446448630823285
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 60+, female (% of female population ages 60+)",2.152291468698375
"H_Cause of death, by non-communicable diseases, ages 15-59, female (% of female population ages 15-59)",2.082528016063655
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1.4460796089139207
H_Lifetime risk of maternal death (%),1.2820076540810037
"H_Cause of death, by injury, ages 5-14, female (% of female population ages 5-14)",0.7695463744886246
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, female (% of female population)",0.4054113291994996
"P_Fertility rate, total (births per woman)",0.27040862686420913
"H_Cause of death, by injury, ages 0-4, female (% of female population ages 0-4)",0.0
