Variable,Importance
"H_Cause of death, by injury, ages 15-59, female (% of female population ages 15-59)",11.017613641391678
"H_Cause of death, by injury, female (% of female population)",4.500231010033623
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 15-59, female (% of female population ages 15-59)",3.6709067338361234
"E_School enrollment, primary, female (% gross)",1.330278328188725
H_Lifetime risk of maternal death (%),0.9412280973952805
"H_Prevalence of obesity, female (% of female population ages 18+)",0.8408013288094752
"H_Cause of death, by non-communicable diseases, ages 15-59, female (% of female population ages 15-59)",0.6667871689839724
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 5-14, female (% of female population ages 5-14)",0.5940599406128336
"H_Cause of death, by injury, ages 0-4, female (% of female population ages 0-4)",0.4200935537643155
"H_Cause of death, by injury, ages 5-14, female (% of female population ages 5-14)",0.4049195015389632
"P_Fertility rate, total (births per woman)",0.40271918405337753
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, female (% of female population)",0.26039521891634204
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",0.2524029141807269
"H_Cause of death, by non-communicable diseases, ages 60+, female (% of female population ages 60+)",0.16973985716908976
"H_Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions, ages 60+, female (% of female population ages 60+)",0.15948326947753413
